Country,population
Albania,2872934
Andorra,77354
Austria,9043072
Belarus,9442867
Belgium,11632334
Bosnia and Herzegovina,3263459
Bulgaria,6896655
Croatia,4081657
Czechia,10724553
Denmark,5813302
Estonia,1325188
Finland,5548361
France,67564251
Germany,83900471
Greece,10370747
Hungary,9634162
Ireland,4982904
Italy,60367471
Kosovo,1782115
Latvia,1866934
Liechtenstein,38254
Lithuania,2689862
Luxembourg,634814
Moldova,4024025
Montenegro,628051
Netherlands,17173094
North Macedonia,2082661
Norway,5465629
Poland,37797000
Portugal,10167923
Romania,19127772
Serbia,6871547
Slovakia,5460726
Slovenia,2078723
Spain,46745211
Sweden,10160159
Switzerland,8715494
Ukraine,43466822
United Kingdom,68207114
