location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Albania,ALB,2021.01.10,0,0,,,,,0.0,0.0,,,,,
Albania,ALB,2021.01.11,,,,,,64,,,,,22,64,0.002
Albania,ALB,2021.01.12,128,128,,,,64,0.0,0.0,,,22,64,0.002
Albania,ALB,2021.01.13,188,188,,,60,63,0.01,0.01,,,22,63,0.002
Albania,ALB,2021.01.14,266,266,,,78,66,0.01,0.01,,,23,66,0.002
Albania,ALB,2021.01.15,308,308,,,42,62,0.01,0.01,,,22,62,0.002
Albania,ALB,2021.01.16,369,369,,,61,62,0.01,0.01,,,22,62,0.002
Albania,ALB,2021.01.17,405,405,,,36,58,0.01,0.01,,,20,58,0.002
Albania,ALB,2021.01.18,447,447,,,42,55,0.02,0.02,,,19,55,0.002
Albania,ALB,2021.01.19,483,483,,,36,51,0.02,0.02,,,18,51,0.002
Albania,ALB,2021.01.20,519,519,,,36,47,0.02,0.02,,,16,47,0.002
Albania,ALB,2021.01.21,549,549,,,30,40,0.02,0.02,,,14,40,0.001
Albania,ALB,2021.01.22,,,,,,34,,,,,12,34,0.001
Albania,ALB,2021.01.23,,,,,,26,,,,,9,26,0.001
Albania,ALB,2021.01.24,,,,,,21,,,,,7,21,0.001
Albania,ALB,2021.01.25,,,,,,15,,,,,5,15,0.001
Albania,ALB,2021.01.26,,,,,,9,,,,,3,9,0.0
Albania,ALB,2021.01.27,,,,,,4,,,,,1,4,0.0
Albania,ALB,2021.01.28,,,,,,0,,,,,0,0,0.0
Albania,ALB,2021.01.29,,,,,,0,,,,,0,0,0.0
Albania,ALB,2021.01.30,,,,,,0,,,,,0,0,0.0
Albania,ALB,2021.01.31,,,,,,0,,,,,0,0,0.0
Albania,ALB,2021.02.01,,,,,,0,,,,,0,0,0.0
Albania,ALB,2021.02.02,550,549,1,,,0,0.02,0.02,0.0,,0,0,0.0
Albania,ALB,2021.02.03,,,,,,12,,,,,4,3,0.0
Albania,ALB,2021.02.04,,,,,,24,,,,,8,6,0.0
Albania,ALB,2021.02.05,,,,,,35,,,,,12,9,0.0
Albania,ALB,2021.02.06,,,,,,47,,,,,16,11,0.0
Albania,ALB,2021.02.07,,,,,,59,,,,,21,14,0.0
Albania,ALB,2021.02.08,,,,,,71,,,,,25,17,0.001
Albania,ALB,2021.02.09,1127,689,438,,,82,0.04,0.02,0.02,,29,20,0.001
Albania,ALB,2021.02.10,,,,,,81,,,,,28,24,0.001
Albania,ALB,2021.02.11,,,,,,79,,,,,27,29,0.001
Albania,ALB,2021.02.12,,,,,,78,,,,,27,33,0.001
Albania,ALB,2021.02.13,,,,,,76,,,,,26,37,0.001
Albania,ALB,2021.02.14,,,,,,75,,,,,26,42,0.001
Albania,ALB,2021.02.15,,,,,,73,,,,,25,46,0.002
Albania,ALB,2021.02.16,,,,,,72,,,,,25,50,0.002
Albania,ALB,2021.02.17,1701,1090,611,,,72,0.06,0.04,0.02,,25,50,0.002
Albania,ALB,2021.02.18,3049,2438,611,,1348,254,0.11,0.08,0.02,,88,236,0.008
Albania,ALB,2021.02.19,4177,,,,1128,405,0.15,,,,141,358,0.012
Albania,ALB,2021.02.20,,,,,,516,,,,,180,481,0.017
Albania,ALB,2021.02.21,,,,,,627,,,,,218,604,0.021
Albania,ALB,2021.02.22,6728,6073,655,,,739,0.23,0.21,0.02,,257,726,0.025
Albania,ALB,2021.02.23,,,,,,891,,,,,310,1515,0.053
Albania,ALB,2021.02.24,,,,,,1043,,,,,363,2305,0.08
Albania,ALB,2021.02.25,10135,,,,,1012,0.35,,,,352,2909,0.101
Albania,ALB,2021.02.26,,,,,,1000,,,,,348,3575,0.124
Albania,ALB,2021.02.27,,,,,,1027,,,,,357,4242,0.148
Albania,ALB,2021.02.28,,,,,,1054,,,,,367,4908,0.171
Albania,ALB,2021.03.01,14295,,,,,1081,0.5,,,,376,5575,0.194
Albania,ALB,2021.03.02,,,,,,1026,,,,,357,5575,0.194
Albania,ALB,2021.03.03,15793,,,,,971,0.55,,,,338,5575,0.194
Albania,ALB,2021.03.04,,,,,,927,,,,,323,5575,0.194
Albania,ALB,2021.03.05,,,,,,897,,,,,312,5575,0.194
Albania,ALB,2021.03.06,,,,,,867,,,,,302,5575,0.194
Albania,ALB,2021.03.07,,,,,,838,,,,,292,5575,0.194
Albania,ALB,2021.03.08,,,,,,808,,,,,281,5575,0.194
Albania,ALB,2021.03.09,,,,,,820,,,,,285,5575,0.194
Albania,ALB,2021.03.10,21613,,,,,831,0.75,,,,289,5575,0.194
Albania,ALB,2021.03.11,,,,,,857,,,,,298,5575,0.194
Albania,ALB,2021.03.12,23635,,,,,883,0.82,,,,307,5575,0.194
Albania,ALB,2021.03.13,,,,,,1042,,,,,363,5575,0.194
Albania,ALB,2021.03.14,,,,,,1201,,,,,418,5575,0.194
Albania,ALB,2021.03.15,,,,,,1361,,,,,474,5575,0.194
Albania,ALB,2021.03.16,,,,,,1520,,,,,529,5575,0.194
Albania,ALB,2021.03.17,33369,,,,,1679,1.16,,,,584,5575,0.194
Albania,ALB,2021.03.18,,,,,,1960,,,,,682,5575,0.194
Albania,ALB,2021.03.19,,,,,,2240,,,,,780,5575,0.194
Albania,ALB,2021.03.20,,,,,,2386,,,,,831,5575,0.194
Albania,ALB,2021.03.21,,,,,,2533,,,,,882,5575,0.194
Albania,ALB,2021.03.22,48229,,,,,2679,1.68,,,,932,5575,0.194
Albania,ALB,2021.03.23,51690,,,,3461,2895,1.8,,,,1008,5575,0.194
Albania,ALB,2021.03.24,53992,,,,2302,2946,1.88,,,,1025,5575,0.194
Albania,ALB,2021.03.25,59348,,,,5356,3287,2.07,,,,1144,5575,0.194
Albania,ALB,2021.03.26,62248,,,,2900,3276,2.17,,,,1140,5575,0.194
Albania,ALB,2021.03.27,64075,,,,1827,3113,2.23,,,,1084,5575,0.194
Albania,ALB,2021.03.28,78000,,,,13925,4678,2.71,,,,1628,5575,0.194
Albania,ALB,2021.03.29,,,,,,7204,,,,,2508,5575,0.194
Albania,ALB,2021.03.30,119321,,,,,9662,4.15,,,,3363,5575,0.194
Albania,ALB,2021.03.31,138846,,,,19525,12122,4.83,,,,4219,5575,0.194
Albania,ALB,2021.04.01,155463,,,,16617,13731,5.41,,,,4779,5575,0.194
Albania,ALB,2021.04.02,172486,,,,17023,15748,6.0,,,,5482,5575,0.194
Albania,ALB,2021.04.03,185496,,,,13010,17346,6.46,,,,6038,5575,0.194
Albania,ALB,2021.04.04,192882,,,,7386,16412,6.71,,,,5713,5575,0.194
Albania,ALB,2021.04.05,206708,,,,13826,15435,7.2,,,,5373,5575,0.194
Albania,ALB,2021.04.06,221588,,,,14880,14610,7.71,,,,5085,5575,0.194
Albania,ALB,2021.04.07,232379,,,,10791,13362,8.09,,,,4651,5575,0.194
Albania,ALB,2021.04.08,242542,,,,10163,12440,8.44,,,,4330,5575,0.194
Albania,ALB,2021.04.09,250676,,,,8134,11170,8.73,,,,3888,5575,0.194
Albania,ALB,2021.04.10,256810,,,,6134,10188,8.94,,,,3546,5575,0.194
Albania,ALB,2021.04.11,,,,,,9898,,,,,3445,5575,0.194
Albania,ALB,2021.04.12,267531,,,,,8689,9.31,,,,3024,5575,0.194
Albania,ALB,2021.04.13,281216,,,,13685,8518,9.79,,,,2965,5575,0.194
Albania,ALB,2021.04.14,,,,,,8639,,,,,3007,5575,0.194
Albania,ALB,2021.04.15,304488,,,,,8849,10.6,,,,3080,5575,0.194
Albania,ALB,2021.04.16,314622,,,,10134,9135,10.95,,,,3180,5575,0.194
Albania,ALB,2021.04.17,324840,,,,10218,9719,11.31,,,,3383,5575,0.194
Albania,ALB,2021.04.18,332905,,,,8065,10105,11.59,,,,3517,5575,0.194
Albania,ALB,2021.04.19,345934,,,,13029,11200,12.04,,,,3898,5575,0.194
Albania,ALB,2021.04.20,350000,,,,4066,9826,12.18,,,,3420,5575,0.194
Albania,ALB,2021.04.21,372075,,,,22075,11318,12.95,,,,3940,5575,0.194
Albania,ALB,2021.04.22,382998,,,,10923,11216,13.33,,,,3904,5575,0.194
Albania,ALB,2021.04.23,391351,,,,8353,10961,13.62,,,,3815,5575,0.194
Albania,ALB,2021.04.24,400064,,,,8713,10746,13.93,,,,3740,5575,0.194
Albania,ALB,2021.04.25,,,,,,10205,,,,,3552,5575,0.194
Albania,ALB,2021.04.26,408619,,,,,8955,14.22,,,,3117,5575,0.194
Albania,ALB,2021.04.27,416855,,,,8236,9551,14.51,,,,3324,5575,0.194
Albania,ALB,2021.04.28,433628,,,,16773,8793,15.09,,,,3061,5575,0.194
Albania,ALB,2021.04.29,453248,,,,19620,10036,15.78,,,,3493,5575,0.194
Albania,ALB,2021.04.30,476903,,,,23655,12222,16.6,,,,4254,5575,0.194
